[
[
-888,358,-5,-190,-140,-535,-623,-176,-801,-549,-492,216,-37,-789,674,219,630,196,819,-822,-43,-521,54,-735,-53,-26,-477,-926,-702,-328,453,-488,525,-805,-103,872,62,-750,-199,783,737,-789,545,-456,706,-497,454,903,-729,-53,-752,-618,806,406,-459,853,-467,277,-283,-338,-47,709,-363,-189,-51,-553,-605,-903,925,420,-307,958,691,742,-311,-783],[
772,-16,-672,157,209,-325,190,-800,65,-738,-867,-970,-873,619,34,646,-804,594,-971,-220,144,-659,140,-597,-972,25,-446,730,998,190,415,326,-644,-614,430,985,-377,-898,871,69,247,750,-582,-16,688,-590,957,711,-850,-879,-330,-482,532,773,105,-855,338,-284,561,-927,841,630,-705,592,723,405,960,-855,-947,888,-523,-406,-978,-245,-619,-173],[
106,-525,-869,-401,-976,297,142,718,156,-124,461,609,-654,555,597,-356,740,213,62,-348,-127,491,-303,8,491,455,68,825,641,290,358,211,-641,542,831,-494,-580,599,461,80,600,794,-307,593,132,-226,190,-175,-813,580,113,244,525,-404,44,-690,141,-656,-571,-823,-311,-647,-578,865,-218,-666,604,348,761,172,284,133,-806,91,-689,237],[
695,581,936,215,-776,-667,754,-527,-68,-582,799,171,188,121,-835,-475,-85,171,-651,-252,-685,-532,646,748,-518,-235,-410,-589,141,569,669,-671,512,712,44,921,690,511,-897,-91,-172,118,394,500,-808,-930,-628,-970,638,610,986,-870,257,-865,83,28,513,112,-479,334,420,961,175,-308,-122,-858,-457,-558,-966,-816,-61,-943,799,985,200,754],[
366,453,-281,223,513,80,195,-610,-904,-313,651,547,-114,165,-986,728,594,-711,782,956,-429,260,302,924,166,248,201,-526,-559,710,412,636,411,263,985,808,648,526,-560,669,-220,993,558,258,8,550,534,68,-857,-32,398,550,-776,-726,893,-673,18,-481,73,514,-97,871,969,799,717,-911,593,596,-43,-474,-47,145,-387,270,-155,292],[
985,-747,239,-206,-831,666,-885,174,-269,-353,767,361,883,-895,-770,-998,514,227,-803,984,398,-928,-890,171,-66,800,728,870,-647,441,-903,279,-740,-837,774,852,742,81,-315,-776,798,-21,1,-731,-340,-708,942,-289,570,-279,483,417,-521,1000,868,-31,447,-13,-606,-293,620,-776,295,330,-601,259,-813,-453,681,657,441,-811,-284,985,-958,4],[
399,-27,-542,796,-42,122,-987,79,-699,-807,933,643,-300,-65,741,-7,-146,-294,950,380,-766,-40,-96,713,-530,890,-973,860,-907,-318,-491,-986,-845,-269,92,-327,606,-280,-387,870,-227,-134,226,-320,741,992,562,987,530,-514,-990,-74,-977,752,-972,862,216,493,-174,6,-149,-538,295,-378,-92,-60,-853,871,-928,-651,-704,43,921,900,55,-621],[
318,-489,-192,-562,461,639,-469,77,-235,111,202,-555,22,-66,-596,916,-161,-703,-525,26,805,-750,-273,-318,397,261,880,-952,255,-535,348,-231,221,962,243,470,-677,586,-76,-568,559,606,-656,-175,-996,385,98,-784,-723,376,456,314,-12,-738,471,439,-954,112,-662,755,67,-693,842,-157,614,438,847,60,93,-816,846,-947,-496,-800,779,880],[
-311,859,-404,827,-165,-410,-985,741,-258,660,27,6,520,-348,-344,-738,-528,-998,431,372,196,121,-259,-346,40,-664,-732,-886,-65,201,871,-438,250,-842,161,303,535,255,295,-460,491,699,-451,480,940,179,829,468,-715,-342,-877,153,553,10,-286,398,988,-523,-851,-441,35,-417,-19,322,609,625,220,-285,898,-348,-330,742,-160,264,-602,-360],[
495,-414,24,402,428,-827,841,745,4,-109,609,365,-413,-830,519,-838,363,-35,-561,-277,894,992,-239,-438,-249,-136,-685,-497,154,-766,70,615,267,100,-907,997,-544,-97,749,-779,8,-971,166,-786,-228,-833,762,669,-126,662,-812,-99,256,-33,704,-878,-929,-119,855,646,-976,-721,243,947,-598,601,-901,-517,422,182,758,-747,-163,691,-978,941],[
-922,911,-727,639,-193,249,438,103,120,260,-683,-156,-449,-872,-276,70,353,498,148,-332,-413,-335,-233,-734,-317,-347,823,140,93,-593,156,-901,231,945,585,-239,944,-654,916,834,-32,486,805,350,-265,926,-765,-425,197,-742,714,-998,488,-895,511,502,745,726,846,-14,391,978,-130,302,266,771,549,-47,106,-193,-30,308,-576,839,387,419],[
-721,-144,596,392,37,-173,-710,-955,-595,256,381,222,-313,926,-949,413,253,628,151,228,-889,-352,221,545,322,182,387,-627,-259,-377,166,-49,-862,919,679,906,-208,941,-123,493,47,604,-907,349,-430,748,-339,-775,-43,382,-296,684,-229,536,705,949,-449,-838,-894,-949,-266,559,566,-80,210,843,-528,-770,-915,-783,795,-933,-310,-254,-532,957],[
366,301,-147,-732,-49,-910,-874,661,-349,-745,-602,-305,-265,-831,553,-225,-663,-301,722,-557,849,972,56,873,465,374,-603,-726,-385,889,956,-591,-714,319,-182,-538,643,-271,581,-314,-888,-112,-508,-51,340,-941,-271,253,505,-619,-94,-665,-649,-979,-984,-263,-283,270,167,-237,-927,535,599,804,468,702,-814,-377,-787,488,990,812,-858,-357,768,344],[
-331,-139,-310,551,903,-571,-810,181,-714,305,866,-801,-194,-325,546,-313,357,-918,-611,-849,-932,711,367,314,247,-877,435,509,-513,-795,997,-965,-887,-268,-873,772,942,386,-951,-119,-260,-792,131,274,887,8,433,-391,237,661,-132,-505,60,834,834,-302,264,-737,-539,673,414,896,-916,545,258,782,815,973,-18,339,-125,7,268,530,242,453],[
730,505,-715,-443,-567,2,-939,972,401,-860,891,622,-896,-823,-157,-782,261,608,787,276,656,560,-365,-219,-36,-746,-981,-344,-550,780,-566,-910,-502,-558,-665,726,188,828,356,-378,-11,578,-534,127,-122,-121,840,160,462,-736,-818,-743,-62,-671,852,-616,684,999,-34,260,-495,106,550,-89,-277,-849,100,-481,626,-90,321,-391,-217,-221,-220,413],[
-107,214,53,-904,-612,-625,475,859,526,-463,-442,173,800,-674,-660,-919,-924,954,-397,200,-928,249,-89,-203,521,-896,-869,-715,387,-812,188,11,-54,325,270,429,-828,884,-725,877,-80,43,733,-945,-181,336,-4,151,-843,-547,-506,872,-72,896,-588,-822,-932,-576,243,-464,945,984,549,-26,921,-975,-950,875,-540,578,-37,-81,235,-135,97,-510],[
793,-391,78,392,694,-150,-364,-273,-98,609,825,426,586,485,736,960,463,826,-294,-644,-580,951,-8,-830,453,288,81,933,354,-87,224,550,712,-634,237,806,-942,-351,709,668,-571,919,-50,27,543,998,918,-981,-501,64,923,-336,-762,-979,-740,354,-326,-659,462,676,289,396,86,-198,-905,972,90,640,347,927,252,-469,477,271,577,-746],[
277,-288,-718,779,545,21,-620,748,513,-292,512,-939,-109,-370,-879,-151,917,-274,-222,-498,-707,651,935,850,-415,562,174,-579,325,203,511,-552,599,-568,627,-269,-817,719,966,-134,490,149,954,-753,896,-745,-808,-708,593,516,-29,-240,-901,-9,710,518,107,-823,-374,962,545,951,652,-627,28,-346,-752,745,-44,523,-94,-488,-356,-607,968,798],[
-401,968,729,770,51,-167,260,521,350,-519,171,-674,483,-665,676,-865,-634,-202,-565,637,503,765,169,-39,-175,595,394,-464,368,704,-540,244,-191,65,364,-276,-703,889,740,584,439,198,621,826,216,436,-396,-714,863,846,-58,-165,404,-622,-68,-493,-805,-914,511,-609,588,172,-433,-825,-403,202,577,-418,604,-686,-496,-120,-37,118,-14,-826],[
624,314,-366,895,619,-134,-255,414,-460,-801,356,816,-551,-310,892,-46,-458,-107,-329,-467,-83,448,-654,-249,396,-319,586,-486,-6,-827,-198,-567,506,925,558,357,575,-412,314,-276,598,338,-558,-333,-775,65,-548,652,-208,731,338,196,954,325,464,349,708,-788,-978,447,32,-880,-328,-98,-823,-498,-762,-233,-636,-198,836,868,878,-440,-570,712],[
-354,-388,335,949,621,-529,-690,-681,632,163,563,-374,-139,889,-790,398,-990,33,605,502,514,-845,-588,-524,121,76,-278,-899,161,-611,-579,-671,-20,-242,-116,510,-553,-679,-530,-585,-775,-418,871,541,682,568,-376,-463,411,486,756,529,776,-12,-958,-964,-376,-618,889,-257,477,-554,304,-346,15,480,780,-461,-695,-929,-899,-486,521,-436,256,743],[
-79,-552,-818,-410,861,-42,-624,749,-688,66,-654,-684,-270,-287,-63,-434,-968,58,-626,60,-892,925,-320,-921,-862,220,-332,-716,-572,-983,-321,194,-29,-240,172,532,367,-219,5,-702,209,943,-915,33,341,546,285,94,994,-248,-525,880,-112,-642,983,77,-231,-926,-569,-938,-680,-374,54,-865,-335,624,-572,799,-177,37,-642,522,-235,623,-98,549],[
191,503,774,58,-521,-346,-567,687,956,-774,704,-782,-400,-21,-572,-892,-93,-893,549,-841,840,399,405,669,419,-279,455,-138,-725,871,-688,-212,664,463,838,739,451,-981,979,413,-862,987,87,-558,-661,914,-329,-709,25,483,-999,-168,112,962,536,-816,-526,-143,-886,836,608,418,808,-391,363,-40,-48,501,178,672,408,-56,33,-237,596,-200],[
15,294,-732,-198,-489,344,495,-929,-943,-443,112,-390,-804,-128,280,446,-206,-390,916,247,681,469,-415,256,635,191,374,-757,-685,-100,-859,311,-518,-951,569,49,-534,-463,718,-942,149,-183,20,414,-660,-560,-875,-316,721,350,148,-380,486,127,996,279,90,751,-882,-120,568,522,715,351,-431,-712,-330,-240,-452,314,396,569,378,594,-743,-320],[
-987,83,-94,150,717,114,-185,777,790,-417,-768,531,-703,870,-142,543,-750,441,-219,-735,959,340,799,-110,876,839,-948,-171,479,-531,-479,-687,768,674,578,192,664,948,-318,98,-739,-873,813,-404,269,-344,-110,-163,-792,-376,695,-982,792,666,316,670,313,506,165,832,203,-482,110,-571,496,-175,330,556,405,408,-888,-313,637,-403,988,-232],[
692,103,122,-579,-778,239,-412,-659,-86,-241,-312,-433,77,594,-23,-799,-992,504,-799,955,744,424,587,909,-185,-329,-491,-989,-951,102,883,685,-919,-495,51,-259,-836,-177,-2,-223,-773,253,623,-670,626,-331,590,933,662,620,532,-233,-610,581,656,894,978,832,605,-192,-19,-643,-996,538,-584,-452,964,673,318,-649,-145,-39,-287,364,272,464],[
-595,260,-717,-839,733,254,12,710,51,-335,786,-265,403,-354,-228,-819,-715,-666,-217,-51,433,-738,766,855,-773,-364,199,-685,-15,38,-276,-371,-755,336,596,-983,380,-333,987,-721,255,-912,-510,-646,285,-87,954,-38,348,-211,791,-4,379,-113,-242,-175,-656,554,1,830,400,-483,-521,-33,940,-309,203,-871,529,-341,176,550,223,-556,907,-142],[
-608,-220,547,-341,-144,295,591,529,-689,330,627,-748,202,-430,660,927,-962,929,-738,-447,-817,810,-12,567,286,835,920,-493,240,-951,-831,855,-978,459,159,988,-398,-48,710,457,773,645,-278,-771,-652,-721,406,834,-630,747,-90,-174,-787,778,-268,140,-744,54,-635,948,-986,549,-868,873,-31,323,-125,449,961,-826,507,-900,-625,-655,-158,263],[
-663,-356,343,866,-261,400,796,-341,628,810,-719,337,330,881,-507,569,23,-363,614,-484,-619,-383,3,-171,168,-476,888,-867,991,-548,786,-196,-939,-889,446,-133,-503,-923,147,-456,368,370,-523,-915,638,67,95,-848,75,942,640,-53,113,-540,615,893,162,137,-731,127,-751,-377,-870,-293,-312,400,-994,9,-715,-265,-777,-674,-211,-305,96,255],[
